Txhash,Blockno,UnixTimestamp,DateTime,From,To,Quantity,Standard Deviation
0x1fefdb2aa2465d5e3352f73e935d99b1c17f87082e47c483d41f414e3ec5ec41,12369774,1620158419,5/4/2021 20:00,0x32accaefa35620b51c061901aff1b74991e7322b,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,3949.398098,44944.381
0x0fda7261f776858dd86272c60ae16713203f0f9b5125e3517fa34a5c945b9aba,12369774,1620158419,5/4/2021 20:00,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0xa679a45e9fde61846afac70c321248ad097b47b7,8025.057121,-25061.30391
0xa559fff37fd6363b3dfc0d12a5d6c3fbaddb90052d6eb15654da664c01413466,12369774,1620158419,5/4/2021 20:00,0x9282dc5c422fa91ff2f6ff3a0b45b7bf97cf78e7,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,7060.224497,64989.95285
0x353fe9db594ed53bca83e1c6c5407e806ae34430cd02239aa11639f7930b9298,12369776,1620158430,5/4/2021 20:00,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0x9282dc5c422fa91ff2f6ff3a0b45b7bf97cf78e7,10590.83924,-48176.49816
0x859effd6ca590268382aeee7ed11f10349a8aa4ec2cc2c5d6f071f33e9982971,12369779,1620158489,5/4/2021 20:01,0x9282dc5c422fa91ff2f6ff3a0b45b7bf97cf78e7,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,10590.83924,13363.22088
0xddb4fed25ed01b8c042460906d854d38756aee99bcd6125b1ba9e6437d298a86,12369781,1620158511,5/4/2021 20:01,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0xb64943f4f26d837ceeac96cae86d1bab23a3414d,2873.731861,10745.96648
0x29e7e7b3ea9485b1214436c6f355cacf9c3f8e92405eb2e218fa1ea1bad0ac4d,12369783,1620158533,5/4/2021 20:02,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0x59903993ae67bf48f10832e9be28935fee04d6f6,8444.822132,82283.02626
0x313136584772792c24fb3ab833c3828d117aad97b5e74974c861012bf3289b02,12369783,1620158533,5/4/2021 20:02,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0x9b20aae7b053383e5d0ae0606738c1f6efd9e76b,10317.55064,35392.69923
0x77631eb35b73c7a1c69b595085c1dfa39577b11a541af276c919d65b33948e2c,12369783,1620158533,5/4/2021 20:02,0x59903993ae67bf48f10832e9be28935fee04d6f6,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,8444.822132,-3867.834993
0x52d4e6b4d3aee21af88cd3e4b307c3c0d85edaed7d67a5a387611e792bceb9ca,12369784,1620158543,5/4/2021 20:02,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0x156d3129b2fd634d5b0817132401aa68b0126098,7943.115167,-8126.590385
